t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.00000000,1.62548900,-1.24547100,�,�,�,�,-3.39967600,5.42490700,�,�,�,�,-4.95617800,-3.56433700,�,�,�,�
0.00104167,1.62418300,-1.24687900,-0.41803360,-0.11459460,�,�,-3.40184500,5.42451700,0.11567090,0.02080693,�,�,-4.95720100,-3.56433900,-1.32368300,-0.90050080,�,�
0.00208333,1.62461800,-1.24571000,0.27577930,0.23873090,18.30888000,-57.32240000,-3.39943500,5.42495000,2.59498100,0.26666960,248.03310000,-224.55800000,-4.95893500,-3.56621300,-6.70787100,-1.63932400,-428.10030000,-1448.07300000
0.00312500,1.62475800,-1.24638200,-0.45546090,-0.66119080,220.43310000,171.85410000,-3.39643900,5.42507300,0.70833650,-0.46308230,-1499.63900000,-271.07260000,-4.97117600,-3.56775400,-4.62545100,-3.46021100,1610.01100000,-977.36150000
0.00416667,1.62366900,-1.24708700,0.38279330,0.54414800,478.76160000,570.90040000,-3.39795900,5.42398600,-1.22258000,-0.51781040,-1009.91700000,-176.87240000,-4.96857200,-3.57342200,-0.21036780,-4.41142200,2962.76200000,133.08210000
0.00520833,1.62555500,-1.24524800,1.13122600,0.99004110,-3317.21900000,-521.76410000,-3.39898600,5.42399400,-1.01427200,-0.52253280,2055.87400000,-4227.64900000,-4.97161400,-3.57694500,-0.57962790,-2.70277000,1936.29100000,492.87810000
0.00625000,1.62602600,-1.24502400,-6.00394800,-0.79456590,2119.74300000,-8154.66300000,-3.40007200,5.42289700,2.51087500,-8.48979600,1270.95400000,-6284.80800000,-4.96977900,-3.57905300,4.48974600,-3.17346400,4573.38100000,1015.58700000
0.00729167,1.61304700,-1.24690400,1.76748100,-14.37995000,3859.12500000,-12916.64000000,-3.39375500,5.40630700,3.07937600,-15.69751000,-409.05490000,-13462.88000000,-4.96226000,-3.58355600,9.12153500,-1.42626800,258.63220000,892.27450000
0.00833333,1.62970800,-1.27498300,8.14448800,-30.62849000,4923.57600000,-26878.30000000,-3.39365700,5.39019400,0.27264670,-32.91706000,56.63587000,-26266.53000000,-4.95077600,-3.58202400,5.91283400,-0.09849476,-4073.08500000,894.96700000
0.00937500,1.63001500,-1.31071300,6.81768100,-65.21316000,-1398.25400000,-22686.84000000,-3.39318700,5.33773000,3.27180900,-72.30342000,4904.58100000,-21084.06000000,-4.94994200,-3.58376100,-0.85933420,-0.57935790,-2437.82300000,437.14910000
0.01041667,1.64391200,-1.41084300,8.85725500,-87.44074000,-330.45820000,20924.22000000,-3.38684000,5.23956200,10.62368000,-82.32051000,857.02880000,19604.76000000,-4.95256600,-3.58323100,0.63877660,1.24250000,-803.78140000,1716.80300000
0.01145833,1.64846700,-1.49288100,3.97340400,-22.72781000,-7720.03900000,70176.38000000,-3.37105400,5.16622900,7.09964600,-30.60515000,-9519.55400000,62450.92000000,-4.94861100,-3.58117300,-0.74539520,2.91705200,-1417.22400000,672.61730000
0.01250000,1.65219000,-1.45819300,-5.41577900,68.49918000,-6040.41700000,49897.31000000,-3.37204900,5.17580100,-10.75724000,51.41957000,-12028.79000000,52703.65000000,-4.95411900,-3.57715400,-4.21595600,2.93908100,-4132.11600000,3406.25100000
0.01354167,1.63718400,-1.35017500,-11.53232000,85.83009000,-1680.68500000,-1133.32800000,-3.39346500,5.27335300,-19.72872000,86.58432000,-2115.90500000,3092.78800000,-4.95739400,-3.57505000,-7.74192700,8.66692200,-906.66300000,4815.72800000
0.01458333,1.62816400,-1.27938000,-7.04325200,57.49940000,874.59910000,-27432.19000000,-3.41315100,5.35618500,-14.19922000,53.52473000,8836.62800000,-30747.16000000,-4.97024800,-3.55909800,-8.16768300,15.04111000,5204.14500000,-830.92910000
0.01562500,1.62251100,-1.23038400,-9.12973900,30.59197000,638.28120000,-23491.55000000,-3.42304700,5.38486300,-1.27066900,17.53775000,8012.34200000,-25424.18000000,-4.97441000,-3.54371400,3.83087300,7.01594100,4823.96200000,-6255.86700000
0.01666667,1.60914400,-1.21564700,-7.73121900,6.45407600,5296.24200000,-12669.66000000,-3.41579800,5.39272200,4.52127800,2.18215000,4653.41900000,-8562.83000000,-4.96226700,-3.54448100,4.53919800,-0.23913050,-3636.68500000,-5775.61800000
0.01770833,1.60640400,-1.21693800,3.07563000,3.64946800,17.76506000,13896.26000000,-3.41362700,5.38940900,5.99343700,-0.75294700,-1620.52500000,6095.86900000,-4.96495400,-3.54421200,-6.35753800,-3.26374600,-3428.39800000,-2657.99500000
0.01875000,1.61555100,-1.20804400,-4.84617200,34.23026000,743.78260000,8519.50600000,-3.40331200,5.39115300,3.52196400,14.50824000,140.91870000,8811.44600000,-4.97551200,-3.55128100,-3.59981500,-6.84552500,-763.22760000,-1049.02700000
0.01979167,1.59630800,-1.14562500,-2.38208100,32.02575000,1133.69700000,-6545.12700000,-3.40629000,5.41963400,3.05981500,21.72635000,-2812.55700000,1763.63000000,-4.97245300,-3.55847400,-4.48064700,-5.20583300,352.51770000,2443.93000000
0.02083333,1.61058800,-1.14132400,5.26607200,8.35084900,2913.83200000,-10732.64000000,-3.39693700,5.43641700,1.35433800,14.91548000,-952.71300000,-2646.32300000,-4.98484700,-3.56212600,-6.66581200,-1.54079900,-382.33110000,5164.17400000
0.02187500,1.60727900,-1.12822800,-1.29194000,14.57177000,-4174.80100000,3858.97000000,-3.40346800,5.45070800,-2.48907000,16.30460000,-4210.70500000,1281.78700000,-4.98634000,-3.56168400,-2.56158000,5.19089800,4170.32900000,3896.28400000
0.02291667,1.60789700,-1.11096600,-1.40171500,16.38516000,-1043.56600000,-264.25250000,-3.40212300,5.47038400,-4.43096100,18.54436000,-385.03210000,-1348.19100000,-4.99018400,-3.55131200,0.37244240,7.94477800,5177.03400000,-205.95020000
0.02395833,1.60435900,-1.09409200,-4.19168900,13.99703000,-1564.67800000,35.39271000,-3.41270000,5.48934200,-6.05236200,13.67455000,272.16090000,-4939.50900000,-4.98556500,-3.54513200,8.90664100,3.80943200,1159.72000000,-1407.91800000
0.02500000,1.59916400,-1.08180500,-4.65156600,15.34865000,3123.92200000,-4028.16000000,-3.41473200,5.49887300,-1.88412500,7.27754600,3622.01400000,-4557.29800000,-4.97162800,-3.54337600,4.72269500,4.31662500,-6766.58800000,-190.45380000
0.02604167,1.59466800,-1.06211500,1.67059400,8.43086600,2142.50000000,-6668.18900000,-3.41662500,5.50450400,0.58367700,4.43096900,978.57860000,-4215.56700000,-4.97572600,-3.53613900,-7.75643800,4.77748300,-5945.34400000,-5092.31600000
0.02708333,1.60264500,-1.06424100,2.24747800,-2.04263600,-1601.93600000,-3815.52200000,-3.41351600,5.50810400,1.10023400,-0.89436210,154.69640000,-3021.89600000,-4.98778700,-3.53342200,-8.02658500,-6.05104600,-1335.15200000,-5937.44100000
0.02812500,1.59935000,-1.06637100,-3.95460500,1.47446500,-96.78054000,-3634.64600000,-3.41433300,5.50264100,-0.07653743,-3.25308000,5.10073800,-2712.27300000,-4.99244800,-3.54874500,-8.41396900,-10.37544000,4154.21400000,-1746.31200000
0.02916667,1.59440600,-1.06116900,1.67501700,-6.90871900,4466.11600000,-5649.09000000,-3.41367500,5.50132700,1.46336000,-4.84258500,1651.57900000,-3973.35800000,-5.00531600,-3.55503800,-2.42383200,-7.06716300,6536.98700000,3150.78300000
0.03020833,1.60284000,-1.08076400,7.39760100,-14.77452000,586.02020000,-5156.26800000,-3.41128400,5.49255200,3.35027400,-12.28696000,408.71170000,-5895.52600000,-4.99749700,-3.56346900,8.46751400,-5.14495100,5335.56800000,2745.99300000
0.03125000,1.60981800,-1.09195000,2.39372600,-14.28990000,-3439.01100000,-1160.64900000,-3.40669600,5.47572900,2.73574300,-17.52105000,500.27670000,-2800.83200000,-4.98767600,-3.56575700,7.78303600,-0.58721260,-2515.61400000,3071.54000000
0.03229167,1.60782700,-1.11053500,-1.02381000,-18.66624000,-1454.62400000,-1526.68100000,-3.40558500,5.45605000,3.42763600,-18.07828000,-878.18630000,-757.72690000,-4.98128300,-3.56469200,3.05894800,1.25884600,-1372.34700000,-195.14970000
